date,open,high,low,close,volume,amount,daily_return,ma20,ma60,momentum_60
2020-01-02,4.12,4.174,4.118,4.149,627623614,2603983236,,,,
2020-01-03,4.156,4.162,4.133,4.139,469673776,1948030083,-0.002410219329958996,,,
2020-01-06,4.126,4.171,4.094,4.123,666504783,2760524448,-0.003865668035757386,,,
2020-01-07,4.134,4.16,4.128,4.155,464959514,1927362283,0.007761338830948317,,,
2020-01-08,4.135,4.149,4.097,4.114,562852067,2321782204,-0.009867629362214303,,,
2020-01-09,4.138,4.165,4.134,4.158,394431722,1636905845,0.010695187165775444,,,
2020-01-10,4.165,4.176,4.144,4.157,379555000,1576677929,-0.00024050024050037422,,,
2020-01-13,4.156,4.205,4.141,4.202,373639185,1558366390,0.010825114265095026,,,
2020-01-14,4.202,4.222,4.18,4.184,409962842,1723090045,-0.004283674440742402,,,
2020-01-15,4.184,4.19,4.145,4.152,319607409,1330016015,-0.007648183556405397,,,
2020-01-16,4.159,4.163,4.135,4.146,416297801,1726422321,-0.0014450867052023808,,,
2020-01-17,4.152,4.175,4.137,4.151,321627384,1335598763,0.001205981669078593,,,
2020-01-20,4.156,4.183,4.142,4.181,353488249,1472153087,0.00722717417489771,,,
2020-01-21,4.163,4.163,4.1,4.105,618294600,2548564521,-0.018177469504903065,,,
2020-01-22,4.089,4.133,4.034,4.119,907393261,3709564742,0.003410475030450444,,,
2020-01-23,4.081,4.09,3.956,3.996,753583400,3042046038,-0.029861616897305154,,,
2020-02-03,3.73,3.736,3.636,3.659,1471075772,5431562760,-0.08433433433433435,,,
2020-02-04,3.65,3.776,3.649,3.77,735843705,2749866008,0.03033615742006024,,,
2020-02-05,3.784,3.855,3.768,3.807,553287488,2109910834,0.009814323607427067,,,
2020-02-06,3.823,3.913,3.797,3.897,527965212,2038967051,0.023640661938534313,4.0682,,
2020-02-07,3.87,3.892,3.844,3.888,346989051,1340754089,-0.002309468822170868,4.055149999999999,,
2020-02-10,3.868,3.91,3.851,3.901,398519147,1549146625,0.003343621399176877,4.0432500000000005,,
2020-02-11,3.909,3.96,3.907,3.943,422258801,1663318182,0.010766470135862738,4.03425,,
2020-02-12,3.939,3.977,3.93,3.971,290783451,1150842638,0.007101191985797728,4.02505,,
2020-02-13,3.97,3.985,3.938,3.95,325961046,1290560943,-0.00528834046839588,4.01685,,
2020-02-14,3.945,3.995,3.943,3.977,313979347,1247221633,0.0068354430379746756,4.0078000000000005,,
2020-02-17,3.986,4.07,3.986,4.064,581140084,2345003457,0.021875785768167066,4.00315,,
2020-02-18,4.057,4.062,4.012,4.039,709950982,2867046795,-0.006151574803149651,3.9949999999999997,,
2020-02-19,4.036,4.069,4.029,4.04,440377238,1783390983,0.0002475860361477178,3.9878,,
2020-02-20,4.055,4.144,4.039,4.131,605241099,2472181763,0.022524752475247656,3.98675,,
2020-02-21,4.123,4.178,4.117,4.145,444470153,1839049777,0.003389009924957387,3.9867,,
2020-02-24,4.123,4.136,4.082,4.112,372727289,1532512765,-0.007961399276236292,3.9847500000000005,,
2020-02-25,4.051,4.116,4.012,4.104,603830762,2459159333,-0.0019455252918287869,3.9809000000000005,,
2020-02-26,4.064,4.118,4.048,4.07,641793391,2617010934,-0.00828460038986345,3.9791499999999997,,
2020-02-27,4.083,4.097,4.061,4.071,475330532,1938047426,0.00024570024570014226,3.97675,,
2020-02-28,4.01,4.019,3.924,3.933,560071042,2224760713,-0.03389830508474578,3.9736000000000002,,
2020-03-02,3.948,4.09,3.948,4.076,426683708,1721101323,0.03635901347571813,3.9944499999999996,,
2020-03-03,4.117,4.139,4.055,4.073,408776061,1677225022,-0.0007360157016681468,4.009600000000001,,
2020-03-04,4.065,4.104,4.048,4.102,295453297,1204615735,0.0071200589246256385,4.02435,,
2020-03-05,4.151,4.208,4.111,4.2,547831292,2282136998,0.023890784982935065,4.039499999999999,,
2020-03-06,4.167,4.169,4.117,4.121,249987730,1035853463,-0.01880952380952372,4.051150000000001,,
2020-03-09,4.068,4.068,3.981,3.99,423642354,1701717889,-0.031788400873574374,4.0556,,
2020-03-10,3.992,4.088,3.943,4.078,859648156,3457073174,0.02205513784461144,4.06235,,
2020-03-11,4.078,4.078,4.009,4.011,703269381,2845979722,-0.016429622363903884,4.064349999999999,,
2020-03-12,3.973,3.975,3.919,3.948,388119218,1531041364,-0.015706806282722585,4.06425,,
2020-03-13,3.833,3.93,3.75,3.889,717892899,2753021876,-0.014944275582573496,4.05985,,
