date,position,strategy_return,nav,cummax_nav,drawdown
2020-01-02,cash,0.0,1.0,1.0,0.0
2020-01-03,cash,0.0,1.0,1.0,0.0
2020-01-06,cash,0.0,1.0,1.0,0.0
2020-01-07,cash,0.0,1.0,1.0,0.0
2020-01-08,cash,0.0,1.0,1.0,0.0
2020-01-09,cash,0.0,1.0,1.0,0.0
2020-01-10,cash,0.0,1.0,1.0,0.0
2020-01-13,cash,0.0,1.0,1.0,0.0
2020-01-14,cash,0.0,1.0,1.0,0.0
2020-01-15,cash,0.0,1.0,1.0,0.0
2020-01-16,cash,0.0,1.0,1.0,0.0
2020-01-17,cash,0.0,1.0,1.0,0.0
2020-01-20,cash,0.0,1.0,1.0,0.0
2020-01-21,cash,0.0,1.0,1.0,0.0
2020-01-22,cash,0.0,1.0,1.0,0.0
2020-01-23,cash,0.0,1.0,1.0,0.0
2020-02-03,cash,0.0,1.0,1.0,0.0
2020-02-04,cash,0.0,1.0,1.0,0.0
2020-02-05,cash,0.0,1.0,1.0,0.0
2020-02-06,cash,0.0,1.0,1.0,0.0
2020-02-07,cash,0.0,1.0,1.0,0.0
2020-02-10,cash,0.0,1.0,1.0,0.0
2020-02-11,cash,0.0,1.0,1.0,0.0
2020-02-12,cash,0.0,1.0,1.0,0.0
2020-02-13,cash,0.0,1.0,1.0,0.0
2020-02-14,cash,0.0,1.0,1.0,0.0
2020-02-17,cash,0.0,1.0,1.0,0.0
2020-02-18,cash,0.0,1.0,1.0,0.0
2020-02-19,cash,0.0,1.0,1.0,0.0
2020-02-20,cash,0.0,1.0,1.0,0.0
2020-02-21,cash,0.0,1.0,1.0,0.0
2020-02-24,cash,0.0,1.0,1.0,0.0
2020-02-25,cash,0.0,1.0,1.0,0.0
2020-02-26,cash,0.0,1.0,1.0,0.0
2020-02-27,cash,0.0,1.0,1.0,0.0
2020-02-28,cash,0.0,1.0,1.0,0.0
2020-03-02,cash,0.0,1.0,1.0,0.0
2020-03-03,cash,0.0,1.0,1.0,0.0
2020-03-04,cash,0.0,1.0,1.0,0.0
2020-03-05,cash,0.0,1.0,1.0,0.0
2020-03-06,cash,0.0,1.0,1.0,0.0
2020-03-09,cash,0.0,1.0,1.0,0.0
2020-03-10,cash,0.0,1.0,1.0,0.0
2020-03-11,cash,0.0,1.0,1.0,0.0
2020-03-12,cash,0.0,1.0,1.0,0.0
2020-03-13,cash,0.0,1.0,1.0,0.0
2020-03-16,cash,0.0,1.0,1.0,0.0
2020-03-17,cash,0.0,1.0,1.0,0.0
2020-03-18,cash,0.0,1.0,1.0,0.0
2020-03-19,cash,0.0,1.0,1.0,0.0
2020-03-20,cash,0.0,1.0,1.0,0.0
2020-03-23,cash,0.0,1.0,1.0,0.0
2020-03-24,cash,0.0,1.0,1.0,0.0
2020-03-25,cash,0.0,1.0,1.0,0.0
2020-03-26,cash,0.0,1.0,1.0,0.0
2020-03-27,cash,0.0,1.0,1.0,0.0
2020-03-30,cash,0.0,1.0,1.0,0.0
2020-03-31,cash,0.0,1.0,1.0,0.0
2020-04-01,cash,0.0,1.0,1.0,0.0
2020-04-02,cash,0.0,1.0,1.0,0.0
2020-04-03,cash,0.0,1.0,1.0,0.0
2020-04-07,cash,0.0,1.0,1.0,0.0
2020-04-08,cash,0.0,1.0,1.0,0.0
2020-04-09,cash,0.0,1.0,1.0,0.0
2020-04-10,cash,0.0,1.0,1.0,0.0
2020-04-13,cash,0.0,1.0,1.0,0.0
2020-04-14,cash,0.0,1.0,1.0,0.0
2020-04-15,cash,0.0,1.0,1.0,0.0
2020-04-16,cash,0.0,1.0,1.0,0.0
2020-04-17,cash,0.0,1.0,1.0,0.0
2020-04-20,cash,0.0,1.0,1.0,0.0
2020-04-21,cash,0.0,1.0,1.0,0.0
2020-04-22,cash,0.0,1.0,1.0,0.0
2020-04-23,cash,0.0,1.0,1.0,0.0
2020-04-24,cash,0.0,1.0,1.0,0.0
