date,open,high,low,close,volume,amount,daily_return,ma20,ma60,momentum_60
2020-01-02,2.91,2.943,2.91,2.934,21465600,62973571,,,,
2020-01-03,2.934,2.939,2.918,2.927,18358800,53770238,-0.0023858214042263848,,,
2020-01-06,2.923,2.945,2.916,2.921,15483437,45362862,-0.00204988042364207,,,
2020-01-07,2.919,2.942,2.919,2.941,11067900,32464817,0.006846970215679482,,,
2020-01-08,2.939,2.939,2.914,2.921,33632500,98451932,-0.006800408024481452,,,
2020-01-09,2.93,2.946,2.93,2.944,30841600,90678072,0.007874015748031482,,,
2020-01-10,2.946,2.951,2.923,2.935,27117800,79515320,-0.0030570652173912416,,,
2020-01-13,2.936,2.948,2.923,2.946,15377228,45113383,0.0037478705281090985,,,
2020-01-14,2.954,2.966,2.951,2.961,33683100,99691694,0.005091649694500822,,,
2020-01-15,2.959,2.962,2.935,2.951,27896176,82198875,-0.0033772374197905686,,,
2020-01-16,2.951,2.954,2.939,2.947,13418300,39505598,-0.0013554727211114725,,,
2020-01-17,2.8,2.816,2.78,2.784,50045800,139739876,-0.05531048523922644,,,
2020-01-20,2.784,2.789,2.77,2.784,17899418,49786068,0.0,,,
2020-01-21,2.784,2.8,2.731,2.733,37772200,103736489,-0.018318965517241326,,,
2020-01-22,2.732,2.742,2.694,2.729,28097100,76434952,-0.0014635931211123276,,,
2020-01-23,2.72,2.73,2.649,2.667,52207000,140102816,-0.02271894466837676,,,
2020-02-03,2.456,2.456,2.41,2.418,112035245,273345272,-0.09336332958380189,,,
2020-02-04,2.418,2.483,2.413,2.482,48179164,118270914,0.026468155500413593,,,
2020-02-05,2.483,2.533,2.476,2.514,48715800,122103113,0.01289282836422223,,,
2020-02-06,2.516,2.53,2.49,2.52,40017228,100369276,0.0023866348448688957,2.79795,,
2020-02-07,2.513,2.515,2.49,2.514,28510302,71327681,-0.0023809523809524835,2.7769500000000003,,
2020-02-10,2.513,2.558,2.496,2.557,48961841,123865009,0.017104216388226012,2.7584500000000003,,
2020-02-11,2.563,2.585,2.553,2.571,23276100,59931699,0.005475166210402893,2.74095,,
2020-02-12,2.571,2.578,2.557,2.578,15841800,40669799,0.002722676001555735,2.7228000000000003,,
2020-02-13,2.576,2.581,2.56,2.562,16242100,41735460,-0.006206361520558534,2.70485,,
2020-02-14,2.559,2.578,2.558,2.577,13772501,35369095,0.005854800936768267,2.6864999999999997,,
2020-02-17,2.577,2.623,2.577,2.622,20454525,53193444,0.017462165308498312,2.67085,,
2020-02-18,2.623,2.635,2.612,2.624,19276778,50549235,0.0007627765064837089,2.65475,,
2020-02-19,2.623,2.634,2.615,2.622,16729928,43943939,-0.0007621951219513035,2.6378,,
2020-02-20,2.622,2.659,2.619,2.658,27621300,72937111,0.013729977116704761,2.62315,,
2020-02-21,2.658,2.692,2.655,2.674,34861600,93242672,0.0060195635816402415,2.6094999999999997,,
2020-02-24,2.672,2.672,2.638,2.656,29550843,78397388,-0.006731488406880981,2.6031,,
2020-02-25,2.625,2.626,2.58,2.622,32986360,86201915,-0.012801204819277157,2.5949999999999998,,
2020-02-26,2.59,2.661,2.59,2.629,29497556,77769726,0.002669717772692648,2.5898,,
2020-02-27,2.634,2.652,2.625,2.631,15448549,40738834,0.0007607455306199995,2.5849,,
2020-02-28,2.6,2.601,2.545,2.558,45632100,117307850,-0.027746104142911454,2.57945,,
2020-03-02,2.559,2.644,2.559,2.637,25554100,66931760,0.03088350273651308,2.5904,,
2020-03-03,2.66,2.68,2.628,2.644,27956618,74123983,0.0026545316647705874,2.5985,,
2020-03-04,2.637,2.669,2.629,2.668,19448548,51504815,0.00907715582450841,2.6062,,
2020-03-05,2.675,2.696,2.672,2.69,26597931,71445259,0.008245877061469287,2.6147,,
2020-03-06,2.675,2.675,2.655,2.667,15650597,41700405,-0.008550185873606009,2.62235,,
2020-03-09,2.621,2.63,2.593,2.596,30188173,78723001,-0.02662167229096357,2.6243,,
2020-03-10,2.59,2.639,2.578,2.633,24092650,62780319,0.014252696456086289,2.6274,,
2020-03-11,2.633,2.643,2.616,2.617,28118900,73949018,-0.006076718571971118,2.6293499999999996,,
2020-03-12,2.597,2.598,2.568,2.576,47657300,123026418,-0.015666794038975862,2.6300499999999998,,
2020-03-13,2.5,2.552,2.471,2.532,49634650,123932274,-0.017080745341614967,2.6277999999999997,,
2020-03-16,2.535,2.563,2.466,2.474,70245868,175597107,-0.02290679304897303,2.6204,,
2020-03-17,2.475,2.5,2.415,2.451,68388262,167649515,-0.00929668552950691,2.61175,,
2020-03-18,2.461,2.482,2.418,2.425,21863200,53621865,-0.010607915136679025,2.6018999999999997,,
2020-03-19,2.42,2.424,2.346,2.382,68702263,163124920,-0.01773195876288647,2.5881,,
2020-03-20,2.392,2.408,2.375,2.407,45074183,107946086,0.010495382031906031,2.57475,,
2020-03-23,2.369,2.369,2.326,2.332,49328364,115581757,-0.031159119235563026,2.55855,,
2020-03-24,2.368,2.378,2.341,2.374,17001240,40135107,0.018010291595197403,2.54615,,
2020-03-25,2.412,2.438,2.408,2.431,19826541,47980377,0.024010109519797762,2.53625,,
2020-03-26,2.428,2.43,2.411,2.413,11516199,27863057,-0.007404360345536931,2.5253500000000004,,
2020-03-27,2.433,2.449,2.423,2.426,13388400,32569254,0.005387484459179692,2.51875,,
2020-03-30,2.408,2.415,2.386,2.404,11349053,27207591,-0.00906842539159125,2.5071000000000003,,
2020-03-31,2.418,2.424,2.397,2.399,11625840,27981641,-0.002079866888519133,2.4948500000000005,,
2020-04-01,2.399,2.412,2.383,2.383,15514879,37211015,-0.00666944560233429,2.4806,,
2020-04-02,2.38,2.411,2.35,2.409,9669171,23115621,0.010910616869492129,2.46655,2.6264,
2020-04-03,2.409,2.414,2.393,2.402,11607900,27870440,-0.002905770029057564,2.4532999999999996,2.6175333333333333,-0.1813224267211997
2020-04-07,2.424,2.439,2.422,2.437,29299431,71197076,0.014571190674437906,2.4453500000000004,2.609366666666667,-0.16740690126409297
2020-04-08,2.434,2.439,2.424,2.438,17540055,42638473,0.00041034058268385465,2.4356,2.6013166666666665,-0.16535433070866135
2020-04-09,2.44,2.448,2.436,2.437,10279134,25092264,-0.00041017227235451426,2.4266,2.5929166666666665,-0.17137028221693307
2020-04-10,2.437,2.443,2.415,2.42,12059576,29270705,-0.006975789905621643,2.4188,2.5845666666666665,-0.171516603902773
2020-04-13,2.42,2.421,2.401,2.41,14483012,34854720,-0.004132231404958553,2.4127,2.5756666666666663,-0.1813858695652173
2020-04-14,2.413,2.435,2.413,2.434,8102577,19635709,0.009958506224066355,2.4107,2.567316666666667,-0.17069846678023848
2020-04-15,2.436,2.439,2.421,2.425,10541901,25590180,-0.003697617091208083,2.4094,2.5586333333333333,-0.17684996605566883
2020-04-16,2.421,2.424,2.41,2.417,7619700,18407450,-0.003298969072164981,2.409,2.5495666666666663,-0.18372171563660933
2020-04-17,2.424,2.435,2.421,2.424,11883921,28853016,0.002896152254861395,2.4111,2.540783333333333,-0.17858353100643853
2020-04-20,2.424,2.428,2.416,2.427,7853968,19036158,0.0012376237623763497,2.4120999999999997,2.5321166666666666,-0.176450627757041
2020-04-21,2.426,2.426,2.397,2.411,15734320,37874121,-0.006592501030078246,2.41605,2.5259,-0.13397988505747116
2020-04-22,2.404,2.413,2.394,2.412,10132561,24349178,0.00041476565740361515,2.41795,2.5197000000000003,-0.13362068965517238
