date,hs300,zz500,cyb,kc50,securities,consumer,medicine,new_energy,dividend
2020-01-02,4.149,5.813,1.765,,1.049,3.025,1.895,,2.934
2020-01-03,4.139,5.824,1.764,,1.045,3.008,1.887,,2.927
2020-01-06,4.123,5.89,1.788,,1.045,3.013,1.867,,2.921
2020-01-07,4.155,5.966,1.822,,1.053,3.08,1.889,,2.941
2020-01-08,4.114,5.883,1.792,,1.021,3.059,1.871,,2.921
2020-01-09,4.158,5.957,1.839,,1.036,3.107,1.919,,2.944
2020-01-10,4.157,5.932,1.831,,1.038,3.097,1.93,,2.935
2020-01-13,4.202,6.031,1.862,,1.05,3.143,1.942,,2.946
2020-01-14,4.184,6.005,1.85,,1.036,3.118,1.924,,2.961
2020-01-15,4.152,5.987,1.847,,1.031,3.123,1.932,,2.951
2020-01-16,4.146,5.995,1.856,,1.026,3.129,1.932,,2.947
2020-01-17,4.151,5.961,1.858,,1.031,3.104,1.961,,2.784
2020-01-20,4.181,6.061,1.905,,1.046,3.099,1.98,,2.784
2020-01-21,4.105,5.99,1.892,,1.028,3.033,2.002,,2.733
2020-01-22,4.119,6.036,1.918,,1.035,3.022,1.978,,2.729
2020-01-23,3.996,5.811,1.853,,0.994,2.907,1.931,,2.667
2020-02-03,3.659,5.339,1.708,,0.895,2.616,1.805,,2.418
2020-02-04,3.77,5.429,1.816,,0.892,2.723,1.888,,2.482
2020-02-05,3.807,5.546,1.871,,0.905,2.775,1.954,,2.514
2020-02-06,3.897,5.711,1.93,,0.928,2.861,2.013,,2.52
2020-02-07,3.888,5.766,1.94,,0.929,2.895,1.986,,2.514
2020-02-10,3.901,5.822,1.961,,0.938,2.931,1.965,,2.557
2020-02-11,3.943,5.796,1.947,,0.937,2.949,1.976,,2.571
2020-02-12,3.971,5.914,2.006,,0.953,2.959,2.0,,2.578
2020-02-13,3.95,5.861,1.988,,0.937,2.944,1.982,,2.562
2020-02-14,3.977,5.868,1.987,,0.954,2.967,1.986,,2.577
2020-02-17,4.064,6.067,2.071,,1.004,3.018,2.02,,2.622
2020-02-18,4.039,6.116,2.09,,0.997,3.002,2.004,,2.624
2020-02-19,4.04,6.067,2.054,,0.999,3.041,1.974,,2.622
2020-02-20,4.131,6.181,2.105,,1.068,3.099,1.999,,2.658
2020-02-21,4.145,6.279,2.145,,1.064,3.083,2.002,,2.674
2020-02-24,4.112,6.337,2.178,,1.065,3.048,1.996,,2.656
2020-02-25,4.104,6.379,2.195,,1.073,3.039,2.015,,2.622
2020-02-26,4.07,6.217,2.102,,1.053,3.012,1.953,,2.629
2020-02-27,4.071,6.215,2.111,,1.055,3.058,1.965,,2.631
2020-02-28,3.933,5.906,1.995,,0.987,2.932,1.904,,2.558
2020-03-02,4.076,6.122,2.054,,1.036,3.023,1.949,,2.637
2020-03-03,4.073,6.164,2.092,,1.046,3.049,2.0,,2.644
2020-03-04,4.102,6.184,2.088,,1.075,3.1,1.999,,2.668
2020-03-05,4.2,6.263,2.121,,1.108,3.25,2.062,,2.69
2020-03-06,4.121,6.227,2.111,,1.067,3.189,2.06,,2.667
2020-03-09,3.99,5.997,2.013,,1.034,3.092,2.003,,2.596
2020-03-10,4.078,6.13,2.063,,1.068,3.153,2.028,,2.633
2020-03-11,4.011,6.04,2.024,,1.037,3.138,1.994,,2.617
2020-03-12,3.948,5.962,1.971,,1.025,3.051,1.933,,2.576
2020-03-13,3.889,5.919,1.952,,1.016,3.007,1.89,,2.532
2020-03-16,3.726,5.632,1.832,,0.959,2.884,1.835,,2.474
2020-03-17,3.693,5.643,1.842,,0.961,2.843,1.832,,2.451
2020-03-18,3.631,5.558,1.818,,0.93,2.832,1.817,,2.425
2020-03-19,3.596,5.608,1.825,,0.942,2.794,1.793,,2.382
2020-03-20,3.644,5.649,1.847,,0.954,2.873,1.839,,2.407
2020-03-23,3.526,5.423,1.761,,0.912,2.787,1.805,,2.332
2020-03-24,3.611,5.5,1.806,,0.936,2.881,1.865,,2.374
2020-03-25,3.706,5.633,1.86,,0.951,2.946,1.925,,2.431
2020-03-26,3.683,5.579,1.853,,0.934,2.942,1.964,,2.413
2020-03-27,3.7,5.555,1.83,,0.941,2.965,1.966,,2.426
2020-03-30,3.666,5.448,1.791,,0.932,2.964,1.935,,2.404
2020-03-31,3.669,5.448,1.795,,0.927,3.08,1.961,,2.399
2020-04-01,3.673,5.428,1.792,,0.922,3.05,1.926,,2.383
2020-04-02,3.723,5.589,1.844,,0.94,3.071,1.958,,2.409
2020-04-03,3.697,5.522,1.834,,0.926,3.09,1.978,,2.402
2020-04-07,3.78,5.686,1.894,,0.948,3.193,2.028,,2.437
2020-04-08,3.765,5.703,1.89,,0.943,3.16,2.022,,2.438
2020-04-09,3.776,5.756,1.921,,0.952,3.168,2.074,,2.437
2020-04-10,3.764,5.652,1.877,,0.939,3.174,2.052,,2.42
2020-04-13,3.743,5.594,1.853,,0.929,3.138,2.063,,2.41
2020-04-14,3.805,5.714,1.909,,0.954,3.196,2.092,,2.434
2020-04-15,3.783,5.703,1.899,,0.944,3.165,2.081,,2.425
2020-04-16,3.785,5.748,1.932,,0.952,3.157,2.085,,2.417
2020-04-17,3.819,5.755,1.943,,0.95,3.184,2.071,,2.424
2020-04-20,3.835,5.817,1.969,,0.954,3.201,2.083,,2.427
2020-04-21,3.795,5.78,1.949,,0.936,3.16,2.068,,2.411
2020-04-22,3.829,5.834,1.967,,0.939,3.265,2.112,,2.412
2020-04-23,3.822,5.804,1.951,,0.931,3.277,2.112,,2.404
2020-04-24,3.79,5.718,1.93,,0.915,3.283,2.079,,2.386
2020-04-27,3.807,5.698,1.939,,0.913,3.302,2.125,,2.397
2020-04-28,3.831,5.654,1.951,,0.925,3.363,2.125,,2.379
2020-04-29,3.851,5.665,1.952,,0.926,3.283,2.096,,2.411
2020-04-30,3.908,5.807,1.993,,0.947,3.282,2.092,,2.452
2020-05-06,3.918,5.897,2.029,,0.95,3.303,2.129,,2.451
2020-05-07,3.911,5.89,2.025,,0.943,3.349,2.132,,2.452
2020-05-08,3.953,5.965,2.042,,0.961,3.365,2.153,,2.469
2020-05-11,3.946,5.942,2.024,,0.954,3.323,2.12,,2.467
2020-05-12,3.945,5.957,2.043,,0.951,3.349,2.144,,2.456
2020-05-13,3.954,5.988,2.058,,0.951,3.394,2.177,,2.458
2020-05-14,3.921,5.957,2.036,,0.938,3.348,2.175,,2.434
2020-05-15,3.902,5.968,2.042,,0.94,3.325,2.154,,2.429
2020-05-18,3.914,5.937,2.039,,0.936,3.414,2.192,,2.429
2020-05-19,3.943,6.004,2.061,,0.941,3.417,2.207,,2.437
2020-05-20,3.927,5.957,2.041,,0.934,3.386,2.187,,2.421
2020-05-21,3.901,5.886,2.02,,0.926,3.376,2.198,,2.413
2020-05-22,3.815,5.785,1.972,,0.905,3.29,2.142,,2.379
2020-05-25,3.817,5.761,1.975,,0.9,3.357,2.172,,2.378
2020-05-26,3.863,5.869,2.038,,0.909,3.377,2.209,,2.39
2020-05-27,3.845,5.832,1.997,,0.899,3.343,2.166,,2.402
2020-05-28,3.85,5.816,1.982,,0.911,3.333,2.136,,2.406
2020-05-29,3.866,5.864,2.006,,0.907,3.37,2.158,,2.392
2020-06-01,3.968,6.061,2.082,,0.946,3.46,2.2,,2.432
2020-06-02,3.979,6.055,2.067,,0.943,3.449,2.182,,2.438
2020-06-03,3.978,6.045,2.06,,0.934,3.431,2.191,,2.448
2020-06-04,3.98,6.056,2.073,,0.929,3.458,2.214,,2.459
2020-06-05,4.003,6.07,2.087,,0.939,3.453,2.231,,2.444
2020-06-08,4.022,6.057,2.073,,0.934,3.471,2.202,,2.454
2020-06-09,4.049,6.093,2.102,,0.943,3.496,2.242,,2.46
2020-06-10,4.04,6.101,2.122,,0.936,3.513,2.281,,2.45
2020-06-11,4.003,6.09,2.119,,0.93,3.45,2.27,,2.433
2020-06-12,4.013,6.091,2.141,,0.929,3.45,2.302,,2.43
2020-06-15,3.956,6.084,2.141,,0.927,3.438,2.295,,2.414
2020-06-16,4.018,6.194,2.183,,0.936,3.47,2.347,,2.442
2020-06-17,4.022,6.244,2.188,,0.933,3.478,2.405,,2.45
2020-06-18,4.053,6.26,2.194,,0.943,3.508,2.391,,2.471
2020-06-19,4.105,6.306,2.238,,0.975,3.569,2.449,,2.468
2020-06-22,4.109,6.302,2.263,,1.002,3.575,2.473,,2.456
2020-06-23,4.128,6.33,2.307,,1.01,3.624,2.523,,2.447
2020-06-24,4.164,6.331,2.307,,1.011,3.659,2.512,,2.45
2020-06-29,4.128,6.303,2.295,,0.979,3.669,2.507,,2.432
2020-06-30,4.178,6.396,2.359,,1.012,3.716,2.528,,2.449
2020-07-01,4.272,6.424,2.342,,1.031,3.831,2.503,,2.489
2020-07-02,4.37,6.539,2.35,,1.116,3.898,2.484,,2.546
2020-07-03,4.457,6.626,2.38,,1.228,3.905,2.522,,2.583
2020-07-06,4.784,6.941,2.45,,1.351,4.046,2.536,,2.766
2020-07-07,4.736,7.01,2.503,,1.28,4.118,2.609,,2.723
2020-07-08,4.798,7.15,2.574,,1.353,4.166,2.61,,2.763
2020-07-09,4.872,7.341,2.674,,1.36,4.222,2.707,,2.775
2020-07-10,4.785,7.33,2.685,,1.331,4.24,2.734,,2.713
2020-07-13,4.885,7.563,2.802,,1.351,4.448,2.823,,2.766
2020-07-14,4.842,7.463,2.767,,1.356,4.418,2.856,,2.75
2020-07-15,4.784,7.307,2.722,,1.315,4.473,2.894,,2.71
2020-07-16,4.556,6.942,2.558,,1.246,4.137,2.718,,2.638
2020-07-17,4.605,6.947,2.583,,1.207,4.229,2.745,,2.64
2020-07-20,4.727,7.151,2.611,,1.276,4.221,2.75,,2.741
2020-07-21,4.739,7.191,2.643,,1.254,4.27,2.845,,2.734
2020-07-22,4.792,7.261,2.678,,1.265,4.35,2.866,,2.735
2020-07-23,4.766,7.253,2.706,,1.27,4.344,2.938,,2.702
2020-07-24,4.554,6.909,2.537,,1.191,4.19,2.782,,2.625
2020-07-27,4.582,6.905,2.54,,1.188,4.217,2.841,,2.612
2020-07-28,4.617,6.976,2.573,,1.188,4.361,2.841,,2.631
2020-07-29,4.749,7.174,2.68,,1.236,4.396,2.944,,2.662
2020-07-30,4.714,7.149,2.652,,1.226,4.42,2.966,,2.664
2020-07-31,4.75,7.224,2.708,,1.245,4.443,3.006,,2.683
2020-08-03,4.825,7.398,2.774,,1.272,4.501,3.082,,2.744
2020-08-04,4.829,7.354,2.738,,1.264,4.475,3.053,,2.745
2020-08-05,4.831,7.424,2.763,,1.258,4.536,3.101,,2.73
2020-08-06,4.813,7.443,2.719,,1.302,4.44,3.025,,2.743
2020-08-07,4.765,7.35,2.657,,1.257,4.359,2.966,,2.738
2020-08-10,4.781,7.385,2.641,,1.271,4.377,2.948,,2.77
2020-08-11,4.734,7.252,2.6,,1.228,4.393,2.928,,2.757
2020-08-12,4.702,7.16,2.548,,1.221,4.33,2.835,,2.737
2020-08-13,4.687,7.193,2.535,,1.229,4.352,2.782,,2.761
2020-08-14,4.778,7.295,2.579,,1.249,4.441,2.806,,2.775
2020-08-17,4.877,7.399,2.607,,1.311,4.49,2.848,,2.837
2020-08-18,4.87,7.452,2.605,,1.301,4.556,2.888,,2.84
2020-08-19,4.794,7.326,2.524,,1.276,4.538,2.787,,2.832
2020-08-20,4.743,7.254,2.503,,1.253,4.46,2.771,,2.817
2020-08-21,4.783,7.297,2.546,,1.275,4.515,2.79,,2.814
2020-08-24,4.813,7.336,2.597,,1.266,4.612,2.806,,2.818
