date,open,high,low,close,volume,amount,daily_return,ma20,ma60,momentum_60
2020-11-16,1.556,1.62,1.451,1.465,1445363837,2119240683,,,,
2020-11-17,1.46,1.46,1.43,1.436,1080636535,1553721900,-0.01979522184300353,,,
2020-11-18,1.435,1.445,1.422,1.424,863188131,1234788628,-0.00835654596100277,,,
2020-11-19,1.424,1.44,1.412,1.438,685401807,980394625,0.00983146067415741,,,
2020-11-20,1.436,1.444,1.431,1.435,601003363,862623917,-0.0020862308762168436,,,
2020-11-23,1.434,1.434,1.416,1.422,797506121,1133175091,-0.009059233449477455,,,
2020-11-24,1.419,1.424,1.414,1.416,564806713,800897383,-0.00421940928270037,,,
2020-11-25,1.417,1.42,1.391,1.393,818612169,1148131355,-0.016242937853107264,,,
2020-11-26,1.391,1.401,1.384,1.39,519167922,722125397,-0.002153625269203263,,,
2020-11-27,1.388,1.4,1.385,1.392,520632671,724061068,0.0014388489208632116,,,
2020-11-30,1.397,1.401,1.385,1.391,635030206,885500684,-0.0007183908045975684,,,
2020-12-01,1.388,1.411,1.386,1.409,586750280,822774327,0.01294033069734013,,,
2020-12-02,1.411,1.42,1.408,1.414,523790784,741100068,0.0035486160397444344,,,
2020-12-03,1.412,1.422,1.404,1.417,443823363,627615117,0.0021216407355022504,,,
2020-12-04,1.415,1.415,1.406,1.411,371360180,523662398,-0.004234297812279464,,,
2020-12-07,1.415,1.422,1.411,1.412,461404464,654078823,0.0007087172218283033,,,
2020-12-08,1.413,1.414,1.405,1.408,415196098,584974825,-0.0028328611898017497,,,
2020-12-09,1.408,1.411,1.377,1.38,782642654,1089123052,-0.019886363636363646,,,
2020-12-10,1.378,1.389,1.371,1.383,436784193,603425321,0.0021739130434783593,,,
2020-12-11,1.382,1.397,1.381,1.396,520034375,723082304,0.009399855386840184,1.4116,,
2020-12-14,1.398,1.417,1.391,1.413,509072497,716152193,0.012177650429799458,1.409,,
2020-12-15,1.41,1.418,1.4,1.406,481061094,677765429,-0.004953998584571906,1.4075,,
2020-12-16,1.4,1.401,1.384,1.388,439325725,610392838,-0.012802275960170695,1.4057,,
2020-12-17,1.386,1.406,1.383,1.406,426540921,595395184,0.012968299711815678,1.4041000000000001,,
2020-12-18,1.42,1.42,1.4,1.403,407483610,574006688,-0.002133712660028375,1.4024999999999999,,
2020-12-21,1.401,1.431,1.398,1.43,751259379,1069955017,0.01924447612259428,1.4029,,
2020-12-22,1.419,1.432,1.399,1.403,586826055,830906503,-0.018881118881118875,1.40225,,
2020-12-23,1.403,1.419,1.397,1.417,477450375,672840830,0.009978617248752597,1.4034499999999999,,
2020-12-24,1.416,1.425,1.39,1.393,562803353,790005502,-0.016937191249117856,1.4036,,
2020-12-25,1.395,1.4,1.383,1.394,460882204,642137515,0.00071787508973431,1.4037000000000002,,
2020-12-28,1.387,1.391,1.377,1.38,600205060,829445698,-0.010043041606886627,1.40315,,
2020-12-29,1.38,1.393,1.379,1.381,482822496,668274567,0.0007246376811596011,1.40175,,
2020-12-30,1.381,1.407,1.377,1.403,612840999,855521835,0.015930485155684293,1.4011999999999998,,
2020-12-31,1.408,1.435,1.406,1.434,880339287,1254346807,0.02209550962223794,1.40205,,
2021-01-04,1.436,1.468,1.429,1.464,881063399,1281133014,0.02092050209205021,1.4046999999999998,,
2021-01-05,1.46,1.469,1.452,1.468,643815942,941124084,0.002732240437158362,1.4075,,
2021-01-06,1.467,1.475,1.45,1.458,488038816,712273905,-0.006811989100817484,1.41,,
2021-01-07,1.457,1.458,1.415,1.429,870901605,1245168684,-0.0198902606310013,1.41245,,
2021-01-08,1.425,1.428,1.41,1.423,661910759,938479860,-0.0041987403778865895,1.41445,,
2021-01-11,1.422,1.45,1.421,1.437,707849292,1017183707,0.00983836964160223,1.4164999999999999,,
2021-01-12,1.429,1.451,1.42,1.45,557717681,804060910,0.009046624913013224,1.41835,,
2021-01-13,1.452,1.46,1.434,1.454,653660152,946447538,0.0027586206896552667,1.42075,,
2021-01-14,1.45,1.524,1.444,1.498,1485670329,2214887202,0.030261348005502064,1.42625,,
2021-01-15,1.5,1.512,1.476,1.492,919191594,1375169301,-0.004005340453938633,1.43055,,
2021-01-18,1.486,1.543,1.48,1.526,891473242,1351225346,0.022788203753351333,1.4367,,
2021-01-19,1.524,1.534,1.486,1.492,956305867,1442207408,-0.022280471821756298,1.4398000000000002,,
2021-01-20,1.49,1.525,1.487,1.524,864218178,1307083651,0.02144772117962468,1.4458499999999999,,
2021-01-21,1.529,1.539,1.512,1.526,645712328,985780911,0.001312335958005173,1.4513,,
2021-01-22,1.524,1.536,1.501,1.536,637854852,967383758,0.006553079947575258,1.45845,,
2021-01-25,1.526,1.557,1.514,1.542,729258365,1121347537,0.00390625,1.46585,,
2021-01-26,1.539,1.557,1.516,1.524,673730058,1032874273,-0.011673151750972721,1.47305,,
2021-01-27,1.525,1.53,1.485,1.503,625435396,939428261,-0.013779527559055205,1.47915,,
2021-01-28,1.486,1.506,1.462,1.469,731655913,1086206530,-0.02262142381902843,1.48245,,
2021-01-29,1.475,1.484,1.445,1.467,779108827,1140998858,-0.001361470388019037,1.4841,,
2021-02-01,1.47,1.481,1.456,1.467,605994079,887787371,0.0,1.48425,,
2021-02-02,1.464,1.479,1.458,1.478,539718461,794266975,0.00749829584185413,1.48475,,
2021-02-03,1.475,1.485,1.454,1.456,540408359,794062396,-0.014884979702300405,1.4846499999999998,,
2021-02-04,1.447,1.453,1.41,1.435,820592019,1171295319,-0.014423076923076872,1.48495,,
2021-02-05,1.434,1.447,1.413,1.414,585699710,838125043,-0.014634146341463539,1.4845,,
2021-02-08,1.413,1.435,1.409,1.425,433399963,616648418,0.007779349363507881,1.4839,1.4373333333333334,
2021-02-09,1.426,1.476,1.424,1.472,603609280,875572875,0.03298245614035089,1.4849999999999999,1.43745,0.004778156996587013
2021-02-10,1.47,1.482,1.451,1.478,586884971,862459824,0.0040760869565217295,1.4862,1.43815,0.029247910863509752
2021-02-18,1.496,1.505,1.472,1.476,606120121,899793708,-0.0013531799729363803,1.4851,1.4390166666666666,0.036516853932584414
2021-02-19,1.473,1.473,1.447,1.472,576221136,840598956,-0.0027100271002710175,1.4841,1.4395833333333334,0.02364394993045904
2021-02-22,1.472,1.479,1.431,1.433,854329106,1243087012,-0.02649456521739124,1.47945,1.43955,-0.0013937282229965486
2021-02-23,1.423,1.444,1.419,1.433,558992638,800165777,0.0,1.4765,1.4397333333333333,0.007735583684950864
2021-02-24,1.435,1.44,1.401,1.409,1020078153,1446579084,-0.016748080949057886,1.4707500000000002,1.4396166666666665,-0.00494350282485867
2021-02-25,1.413,1.416,1.392,1.393,880317119,1232730426,-0.011355571327182457,1.4641000000000002,1.4396166666666665,0.0
2021-02-26,1.376,1.386,1.366,1.368,1126996773,1546010853,-0.017946877243359638,1.4557,1.43925,-0.015827338129496216
2021-03-01,1.375,1.401,1.375,1.4,732578413,1016775467,0.023391812865496853,1.4485999999999999,1.4393833333333332,0.005747126436781658
2021-03-02,1.412,1.414,1.385,1.392,590004812,825491699,-0.005714285714285672,1.442,1.4393999999999998,0.0007189072609632419
2021-03-03,1.391,1.401,1.38,1.4,435786819,606334492,0.005747126436781658,1.4368500000000002,1.4392500000000001,-0.0063875088715401596
2021-03-04,1.391,1.403,1.364,1.366,1021283619,1404543726,-0.024285714285714133,1.4317,1.43845,-0.033946251768033786
2021-03-05,1.356,1.378,1.351,1.37,595833015,812491994,0.002928257686676483,1.4268500000000002,1.4376666666666666,-0.03316866619618908
2021-03-08,1.375,1.378,1.315,1.316,1235497777,1658452920,-0.039416058394160625,1.4193,1.4360833333333332,-0.06732813607370658
2021-03-09,1.316,1.319,1.265,1.269,1011017568,1302723568,-0.03571428571428581,1.40885,1.4336999999999998,-0.10127478753541075
2021-03-10,1.286,1.297,1.267,1.272,602195423,770929815,0.0023640661938535423,1.39965,1.4314333333333336,-0.09659090909090906
2021-03-11,1.278,1.312,1.266,1.304,718380547,928782437,0.02515723270440251,1.3931,1.4301666666666668,-0.05507246376811581
2021-03-12,1.306,1.308,1.29,1.298,403289795,523461074,-0.004601226993865004,1.3873000000000002,1.42875,-0.061460592913955114
2021-03-15,1.292,1.293,1.25,1.26,801712820,1015466860,-0.02927580893682591,1.3790499999999999,1.4264833333333333,-0.09742120343839533
2021-03-16,1.262,1.268,1.248,1.258,493030593,620269265,-0.0015873015873015817,1.36835,1.4239,-0.1096956829440906
2021-03-17,1.256,1.273,1.249,1.271,461687794,584085708,0.010333863275039601,1.358,1.4216499999999999,-0.09601706970128021
2021-03-18,1.271,1.286,1.271,1.277,397403549,508677489,0.00472069236821393,1.34805,1.4198,-0.07997118155619598
2021-03-19,1.26,1.277,1.256,1.266,361357123,457860670,-0.008613938919342146,1.3377500000000002,1.4174666666666667,-0.09957325746799428
2021-03-22,1.268,1.282,1.263,1.28,366132922,467457659,0.011058451816745585,1.3301,1.4154166666666665,-0.08766928011404129
2021-03-23,1.281,1.292,1.269,1.273,396738957,508153798,-0.005468750000000133,1.3221,1.4128,-0.10979020979020981
2021-03-24,1.267,1.279,1.257,1.258,433041239,547717668,-0.01178318931657496,1.31455,1.410383333333333,-0.10334996436208121
2021-03-25,1.253,1.267,1.25,1.259,381307917,479927579,0.0007949125596182771,1.30785,1.4077499999999998,-0.11150317572335933
2021-03-26,1.262,1.294,1.26,1.293,627068549,803016039,0.027005559968228843,1.3041,1.4060833333333334,-0.07178750897343866
2021-03-29,1.292,1.299,1.284,1.286,398030729,514038487,-0.005413766434647971,1.2984,1.4042833333333333,-0.07747489239598271
2021-03-30,1.284,1.295,1.281,1.286,296059594,381288806,0.0,1.2931000000000001,1.4027166666666668,-0.06811594202898541
2021-03-31,1.284,1.289,1.273,1.284,284891555,364330838,-0.0015552099533436836,1.2872999999999999,1.4011,-0.0702389572773352
2021-04-01,1.286,1.305,1.285,1.303,462274350,600499552,0.014797507788161912,1.28415,1.3994333333333333,-0.07127583749109057
2021-04-02,1.306,1.34,1.306,1.338,760546305,1011916394,0.026861089792785897,1.28255,1.3978333333333335,-0.06694560669456062
2021-04-06,1.344,1.347,1.329,1.335,325584504,434756157,-0.0022421524663678305,1.2834999999999999,1.3956833333333334,-0.08811475409836067
2021-04-07,1.333,1.34,1.321,1.339,321714413,427555540,0.002996254681647992,1.2870000000000001,1.3935333333333333,-0.08787465940054495
