date,open,high,low,close,volume,amount,daily_return,ma20,ma60,momentum_60
2020-01-02,1.9,1.901,1.878,1.895,94491559,178405377,,,,
2020-01-03,1.895,1.898,1.88,1.887,46498900,87852448,-0.004221635883905006,,,
2020-01-06,1.878,1.886,1.856,1.867,81611141,152718114,-0.010598834128245915,,,
2020-01-07,1.867,1.89,1.867,1.889,59562700,111974443,0.011783610069630468,,,
2020-01-08,1.877,1.883,1.869,1.871,32964100,61817594,-0.009528851244044456,,,
2020-01-09,1.881,1.921,1.881,1.919,72057747,137333221,0.0256547300908605,,,
2020-01-10,1.92,1.939,1.92,1.93,51201638,98747693,0.005732152162584603,,,
2020-01-13,1.929,1.943,1.915,1.942,40331600,77784282,0.006217616580310947,,,
2020-01-14,1.942,1.945,1.92,1.924,36648630,70711383,-0.009268795056642687,,,
2020-01-15,1.923,1.948,1.918,1.932,38006640,73515098,0.004158004158004269,,,
2020-01-16,1.931,1.936,1.912,1.932,28696368,55255576,0.0,,,
2020-01-17,1.932,1.973,1.93,1.961,57432815,112222271,0.015010351966873836,,,
2020-01-20,2.015,2.02,1.949,1.98,156705715,309345542,0.009688934217236156,,,
2020-01-21,2.008,2.022,1.982,2.002,232607714,465959552,0.011111111111111072,,,
2020-01-22,2.015,2.015,1.958,1.978,140489792,277493394,-0.011988011988011915,,,
2020-01-23,1.978,1.989,1.906,1.931,114491197,222997485,-0.023761375126390205,,,
2020-02-03,2.005,2.005,1.738,1.805,200165124,373331049,-0.06525116519937857,,,
2020-02-04,1.82,1.904,1.82,1.888,105054869,195531083,0.04598337950138509,,,
2020-02-05,1.906,1.96,1.892,1.954,146901782,281809587,0.03495762711864403,,,
2020-02-06,1.965,2.037,1.941,2.013,191591678,383753519,0.0301944728761514,1.925,,
2020-02-07,2.021,2.034,1.956,1.986,147194443,293012482,-0.01341281669150518,1.9295499999999997,,
2020-02-10,1.983,1.983,1.944,1.965,91311518,178581304,-0.010574018126888185,1.93345,,
2020-02-11,1.964,1.985,1.953,1.976,81654485,160587161,0.005597964376590214,1.9388999999999998,,
2020-02-12,1.979,2.004,1.976,2.0,72667980,145003086,0.012145748987854255,1.9444500000000002,,
2020-02-13,2.002,2.004,1.969,1.982,68806821,136480331,-0.009000000000000008,1.95,,
2020-02-14,1.991,2.003,1.973,1.986,48951557,97563693,0.0020181634712410634,1.9533499999999997,,
2020-02-17,1.987,2.022,1.983,2.02,77157460,154893346,0.017119838872104776,1.9578499999999999,,
2020-02-18,2.031,2.036,1.994,2.004,46407108,93199641,-0.007920792079207928,1.9609499999999997,,
2020-02-19,1.993,1.998,1.97,1.974,46154665,91459097,-0.014970059880239583,1.96345,,
2020-02-20,1.972,2.0,1.97,1.999,48874028,97094712,0.012664640324214771,1.9667999999999999,,
2020-02-21,1.995,2.008,1.979,2.002,67078779,133964724,0.0015007503751873763,1.9703,,
2020-02-24,2.003,2.007,1.979,1.996,49212874,98175164,-0.0029970029970028955,1.97205,,
2020-02-25,1.971,2.026,1.96,2.015,79376600,159051522,0.009519038076152286,1.9738,,
2020-02-26,1.996,1.997,1.948,1.953,57261812,112690003,-0.03076923076923077,1.97135,,
2020-02-27,1.959,1.978,1.953,1.965,26416770,51912443,0.006144393241167334,1.9707000000000001,,
2020-02-28,1.934,1.955,1.9,1.904,32212810,62011974,-0.03104325699745558,1.96935,,
2020-03-02,1.916,1.957,1.905,1.949,31029330,60053742,0.023634453781512743,1.97655,,
2020-03-03,1.969,2.021,1.969,2.0,61836663,123977468,0.02616726526423796,1.98215,,
2020-03-04,1.999,2.0,1.976,1.999,29893367,59416323,-0.0004999999999999449,1.9843999999999997,,
2020-03-05,2.019,2.064,2.013,2.062,86157041,176511743,0.03151575787893934,1.98685,,
2020-03-06,2.055,2.1,2.049,2.06,52549216,109166701,-0.0009699321047526022,1.99055,,
2020-03-09,2.033,2.048,2.0,2.003,45704053,92517245,-0.02766990291262128,1.9924499999999998,,
2020-03-10,1.99,2.033,1.96,2.028,35293883,70720044,0.01248127808287558,1.9950499999999998,,
2020-03-11,2.025,2.036,1.993,1.994,22371882,45048552,-0.0167652859960552,1.9947500000000002,,
2020-03-12,1.97,1.981,1.918,1.933,34557099,67141088,-0.0305917753259779,1.9923000000000002,,
2020-03-13,1.848,1.914,1.82,1.89,44701861,83615468,-0.02224521469218843,1.9875,,
2020-03-16,1.907,1.915,1.826,1.835,38143698,71580212,-0.02910052910052907,1.9782499999999998,,
2020-03-17,1.834,1.877,1.77,1.832,38035450,69323450,-0.0016348773841960984,1.9696500000000001,,
2020-03-18,1.839,1.884,1.813,1.817,31709100,58909693,-0.008187772925764225,1.9617999999999998,,
2020-03-19,1.81,1.829,1.748,1.793,61479162,109695764,-0.01320858558062743,1.9515,,
2020-03-20,1.805,1.839,1.798,1.839,21010400,38188360,0.025655326268823275,1.9433500000000001,,
2020-03-23,1.818,1.832,1.783,1.805,22708260,41224591,-0.018488308863512826,1.9338000000000002,,
2020-03-24,1.829,1.866,1.824,1.865,25205239,46515799,0.033240997229917024,1.9263,,
2020-03-25,1.899,1.931,1.883,1.925,36191400,69075548,0.03217158176943702,1.9249000000000003,,
2020-03-26,1.914,1.965,1.905,1.964,38874110,75800183,0.0202597402597402,1.92485,,
2020-03-27,1.99,2.01,1.956,1.966,35159232,69695112,0.0010183299389001643,1.9279500000000003,,
2020-03-30,1.943,1.965,1.912,1.935,28622000,55442063,-0.01576805696846384,1.9272499999999997,,
2020-03-31,1.945,1.964,1.93,1.961,23427443,45650392,0.013436692506459957,1.9253,,
2020-04-01,1.955,1.962,1.923,1.926,32961300,64060290,-0.017848036715961357,1.92165,,
2020-04-02,1.924,1.959,1.913,1.958,17756000,34342526,0.01661474558670828,1.91645,1.9427666666666668,
2020-04-03,1.958,2.0,1.955,1.978,32114300,63628285,0.010214504596527174,1.91235,1.94415,0.0437994722955144
2020-04-07,1.998,2.03,1.989,2.028,28596496,57498995,0.025278058645096024,1.9136000000000002,1.9465000000000001,0.07472178060413359
2020-04-08,2.022,2.038,1.996,2.022,22356100,45124962,-0.002958579881656931,1.9133,1.9490833333333333,0.0830208891269415
2020-04-09,2.026,2.087,2.019,2.074,38534796,79479726,0.02571711177052416,1.9172999999999998,1.9521666666666666,0.09793541556379037
2020-04-10,2.066,2.116,2.045,2.052,33594513,69890241,-0.01060752169720336,1.92325,1.9551833333333333,0.0967397113842865
2020-04-13,2.049,2.078,2.035,2.063,26411596,54338051,0.005360623781676566,1.9319000000000002,1.9575833333333332,0.07503908285565397
2020-04-14,2.073,2.098,2.04,2.092,22220786,46008781,0.014057198254968428,1.9447500000000002,1.9602833333333334,0.08393782383419701
2020-04-15,2.086,2.111,2.073,2.081,29458212,61552170,-0.005258126195028745,1.9571999999999998,1.9626,0.07157569515962936
2020-04-16,2.071,2.099,2.058,2.085,25131156,52311479,0.001922152811148381,1.9706,1.9652833333333333,0.08367983367983367
2020-04-17,2.084,2.096,2.067,2.071,22513936,46846085,-0.006714628297362024,1.9845000000000002,1.9676,0.07194616977225676
