date,selected_etf,best_etf,best_momentum_60
2020-04-30,consumer,consumer,0.1827027027027028
2020-05-29,consumer,consumer,0.1147866357922593
2020-06-30,cyb,cyb,0.3171412618648799
2020-07-31,medicine,medicine,0.4119304837952089
2020-08-31,consumer,consumer,0.4109311740890686
2020-09-30,consumer,consumer,0.0468074891982714
2020-10-30,consumer,consumer,0.0203619909502261
2020-11-30,dividend,dividend,0.0464451589853518
2020-12-31,consumer,consumer,0.1958266452648476
2021-01-29,consumer,consumer,0.1434707903780068
2021-02-26,medicine,medicine,0.1884570082449941
2021-03-31,zz500,zz500,0.0091569767441859
2021-04-30,dividend,dividend,0.098406374501992
2021-05-31,cyb,cyb,0.1175236096537251
2021-06-30,new_energy,new_energy,0.355342136854742
2021-07-30,new_energy,new_energy,0.4528301886792452
2021-08-31,new_energy,new_energy,0.4761904761904763
2021-09-30,new_energy,new_energy,0.221014492753623
2021-10-29,new_energy,new_energy,0.2375415282392026
2021-11-30,consumer,consumer,0.1435594886922322
2021-12-31,consumer,consumer,0.0432525951557094
2022-01-28,cash,securities,-0.0182481751824817
2022-02-28,dividend,dividend,0.0166253979483552
2022-03-31,dividend,dividend,0.0549912434325743
2022-04-29,dividend,dividend,0.0378651280201947
2022-05-31,cash,dividend,-0.0034435261707987
2022-06-30,consumer,consumer,0.1491053677932405
2022-07-29,new_energy,new_energy,0.358786610878661
2022-08-31,consumer,consumer,0.0305052430886558
2022-09-30,dividend,dividend,0.0081743869209809
2022-10-31,cash,dividend,-0.0530851430541192
2022-11-30,dividend,dividend,0.0131092436974789
2022-12-30,medicine,medicine,0.0814479638009049
2023-01-31,consumer,consumer,0.2651869158878503
2023-02-28,consumer,consumer,0.1785714285714283
2023-03-31,kc50,kc50,0.1195219123505977
2023-04-28,dividend,dividend,0.0859069932552361
2023-05-31,kc50,kc50,0.0629844961240309
2023-06-30,dividend,dividend,0.0176653966054729
2023-07-31,securities,securities,0.0788072417465388
2023-08-31,securities,securities,0.0975056689342404
2023-09-28,securities,securities,0.0700564971751411
2023-10-31,medicine,medicine,0.0022883295194509
2023-11-30,medicine,medicine,0.0356294536817103
2023-12-29,cash,kc50,-0.0375536480686695
2024-01-31,cash,dividend,-0.007778153533987
2024-02-29,dividend,dividend,0.0394121576486306
2024-03-29,dividend,dividend,0.0470347648261757
2024-04-30,consumer,consumer,0.1069182389937106
2024-05-31,dividend,dividend,0.0534277438043129
2024-06-28,dividend,dividend,0.0488204456094365
2024-07-31,cash,dividend,-0.0212025316455696
2024-08-30,cash,securities,-0.0073170731707317
2024-09-30,new_energy,new_energy,2.96692607003891
2024-10-31,new_energy,new_energy,3.114068441064638
2024-11-29,new_energy,new_energy,3.3027888446215146
2024-12-31,cash,dividend,-0.0155699177438307
2025-01-27,kc50,kc50,0.0191919191919192
2025-02-28,kc50,kc50,0.0915221579961464
2025-03-31,cash,kc50,-0.0064754856614245
2025-04-30,consumer,consumer,0.0569210866752909
2025-05-30,medicine,medicine,0.041899441340782
2025-06-30,securities,securities,0.0470046082949309
2025-07-31,cyb,cyb,0.1698017285205897
2025-08-29,cyb,cyb,0.4204263758056521
2025-09-30,kc50,kc50,0.5038314176245211
2025-10-31,new_energy,new_energy,0.4723340040241448
2025-11-28,new_energy,new_energy,0.2703188145487203
2025-12-31,dividend,dividend,0.0327709279688512
2026-01-30,zz500,zz500,0.151432469304229
2026-02-27,zz500,zz500,0.2385880351573575
2026-03-31,new_energy,new_energy,0.048234882908074
2026-04-30,cyb,cyb,0.1088067327923054
2026-05-29,cyb,cyb,0.2349177330895795
