date,open,high,low,close,volume,amount,daily_return,ma20,ma60,momentum_60
2021-02-04,0.98,0.991,0.951,0.968,158713400,154098109,,,,
2021-02-05,0.975,0.993,0.949,0.953,192995500,187187129,-0.015495867768595017,,,
2021-02-08,0.951,0.963,0.92,0.962,118127800,111560429,0.009443861490031402,,,
2021-02-09,0.962,0.999,0.962,0.997,144147900,142511148,0.03638253638253652,,,
2021-02-10,1.0,1.02,0.989,1.015,273452164,275949063,0.01805416248746239,,,
2021-02-18,1.045,1.047,0.992,1.005,181220418,183132988,-0.009852216748768461,,,
2021-02-19,0.993,1.0,0.96,0.99,185790200,181670106,-0.01492537313432829,,,
2021-02-22,0.988,1.01,0.971,0.971,163735900,162027504,-0.019191919191919204,,,
2021-02-23,0.97,0.975,0.948,0.965,111968800,107846773,-0.006179196704428458,,,
2021-02-24,0.961,0.967,0.907,0.918,268209900,249837494,-0.04870466321243516,,,
2021-02-25,0.93,0.936,0.903,0.909,128290900,117489985,-0.009803921568627416,,,
2021-02-26,0.893,0.899,0.87,0.893,133507400,118342460,-0.017601760176017667,,,
2021-03-01,0.902,0.928,0.902,0.923,107616700,98642338,0.033594624860022515,,,
2021-03-02,0.93,0.935,0.908,0.92,107515300,99254314,-0.00325027085590468,,,
2021-03-03,0.915,0.922,0.899,0.922,90224200,82131675,0.0021739130434783593,,,
2021-03-04,0.915,0.915,0.858,0.862,288482400,252578435,-0.06507592190889377,,,
2021-03-05,0.842,0.87,0.834,0.861,111846600,95437925,-0.001160092807424573,,,
2021-03-08,0.864,0.87,0.813,0.814,138349300,116072708,-0.05458768873403019,,,
2021-03-09,0.812,0.825,0.775,0.797,123778600,99196308,-0.020884520884520752,,,
2021-03-10,0.818,0.827,0.804,0.808,93025200,75795748,0.013801756587201952,0.92265,,
2021-03-11,0.81,0.839,0.805,0.836,124910700,103356098,0.03465346534653446,0.91605,,
2021-03-12,0.843,0.855,0.831,0.849,105116000,88811464,0.015550239234449759,0.9108499999999999,,
2021-03-15,0.849,0.85,0.808,0.818,96580700,79425532,-0.036513545347467646,0.9036500000000001,,
2021-03-16,0.816,0.826,0.804,0.82,64540200,52734405,0.0024449877750611915,0.8948,,
2021-03-17,0.819,0.835,0.803,0.833,74614400,61602253,0.01585365853658538,0.8856999999999999,,
2021-03-18,0.833,0.846,0.832,0.843,63703900,53534410,0.01200480192076836,0.8775999999999999,,
2021-03-19,0.825,0.831,0.81,0.817,82271800,67414254,-0.03084223013048637,0.8689499999999999,,
2021-03-22,0.815,0.835,0.815,0.829,65111500,53901185,0.014687882496940086,0.8618499999999999,,
2021-03-23,0.829,0.829,0.798,0.805,125454400,101230207,-0.02895054282267784,0.8538499999999999,,
2021-03-24,0.8,0.809,0.784,0.789,89171600,70584546,-0.019875776397515588,0.8474,,
2021-03-25,0.781,0.794,0.772,0.79,64342500,50384184,0.0012674271229404788,0.84145,,
2021-03-26,0.794,0.829,0.791,0.826,172720700,140951697,0.045569620253164356,0.8381000000000001,,
2021-03-29,0.824,0.827,0.814,0.819,66349400,54532651,-0.008474576271186418,0.8329000000000001,,
2021-03-30,0.816,0.837,0.811,0.835,89598500,74283156,0.019536019536019467,0.82865,,
2021-03-31,0.835,0.837,0.822,0.833,73434100,60913446,-0.0023952095808382756,0.8241999999999999,,
2021-04-01,0.834,0.852,0.834,0.841,81708500,68889851,0.009603841536614643,0.82315,,
2021-04-02,0.842,0.85,0.833,0.844,54444600,45861762,0.00356718192627814,0.8222999999999999,,
2021-04-06,0.847,0.864,0.845,0.856,76427600,65372215,0.014218009478673022,0.8244,,
2021-04-07,0.86,0.86,0.834,0.843,59535300,50087888,-0.015186915887850483,0.8267,,
2021-04-08,0.836,0.84,0.828,0.837,43009400,35937491,-0.007117437722419906,0.8281499999999999,,
2021-04-09,0.839,0.839,0.818,0.821,61750300,50912010,-0.019115890083632014,0.8273999999999999,,
2021-04-12,0.821,0.825,0.794,0.8,87092800,70032346,-0.025578562728379883,0.82495,,
2021-04-13,0.8,0.81,0.794,0.802,58967100,47269864,0.0024999999999999467,0.82415,,
2021-04-14,0.806,0.827,0.803,0.826,83400200,68217346,0.029925187032418865,0.82445,,
2021-04-15,0.821,0.83,0.814,0.826,51133000,42066363,0.0,0.8240999999999999,,
2021-04-16,0.826,0.828,0.807,0.823,68563100,55994864,-0.003631961259079941,0.8230999999999999,,
2021-04-19,0.823,0.863,0.818,0.861,171943800,146226783,0.04617253948967193,0.8253,,
2021-04-20,0.86,0.878,0.852,0.864,119214000,103513934,0.0034843205574912606,0.8270500000000001,,
2021-04-21,0.859,0.869,0.85,0.861,59748200,51378673,-0.00347222222222221,0.8298500000000001,,
2021-04-22,0.868,0.874,0.854,0.864,59295200,51326985,0.0034843205574912606,0.8336,,
2021-04-23,0.865,0.882,0.861,0.879,74691400,65426780,0.01736111111111116,0.83805,,
2021-04-26,0.879,0.896,0.864,0.866,96611500,85116902,-0.014789533560864654,0.84005,,
2021-04-27,0.867,0.871,0.849,0.861,78664300,67483609,-0.005773672055427226,0.84215,,
2021-04-28,0.858,0.884,0.858,0.88,87650200,76556137,0.022067363530778206,0.8443999999999999,,
2021-04-29,0.881,0.885,0.87,0.882,62087000,54586787,0.002272727272727204,0.8468500000000001,,
2021-04-30,0.882,0.91,0.877,0.906,165111900,148565332,0.027210884353741527,0.8501,,
2021-05-06,0.905,0.914,0.884,0.901,117040700,105360910,-0.0055187637969095205,0.8529499999999999,,
2021-05-07,0.898,0.91,0.878,0.881,89699700,80048161,-0.02219755826859049,0.8542,,
2021-05-10,0.88,0.892,0.866,0.889,71504300,63189942,0.009080590238365494,0.8565000000000002,,
2021-05-11,0.881,0.881,0.855,0.876,93688500,81247239,-0.01462317210348707,0.85845,0.86975,
2021-05-12,0.87,0.879,0.865,0.875,73034500,63745020,-0.0011415525114155667,0.86115,0.8682,-0.09607438016528924
2021-05-13,0.865,0.866,0.854,0.856,85372800,73237847,-0.021714285714285686,0.86395,0.8665833333333333,-0.10178384050367262
