stop_loss,stop_date,holding,entry_date,entry_price,stop_price,holding_return_at_stop,equity_before_stop,stop_loss_label,stop_year,stop_month,entry_month
0.05,2023-02-08,securities,2023-02-01,0.981,0.929,-0.05300713557594283,1.6019591729322884,5%,2023,2023-02,2023-02
0.05,2024-10-09,cyb,2024-10-08,2.678,2.242,-0.16280806572068707,1.8296466531372644,5%,2024,2024-10,2024-10
0.05,2025-09-04,kc50,2025-09-01,1.431,1.282,-0.10412299091544375,1.8897820333109108,5%,2025,2025-09,2025-09
0.05,2025-10-10,new_energy,2025-10-09,0.9177539135879772,0.8620475892298058,-0.060698541878602685,1.9577721742808032,5%,2025,2025-10,2025-10
0.05,2026-03-16,zz500,2026-03-02,8.733,8.259,-0.05427688079697701,2.06320013604042,5%,2026,2026-03,2026-03
0.08,2024-10-09,cyb,2024-10-08,2.678,2.242,-0.16280806572068707,1.8081902424927978,8%,2024,2024-10,2024-10
0.08,2025-09-04,kc50,2025-09-01,1.431,1.282,-0.10412299091544375,1.8676204103189926,8%,2025,2025-09,2025-09
0.08,2025-10-17,new_energy,2025-10-09,0.9177539135879772,0.8271922354414526,-0.09867751780264489,1.8311508011147688,8%,2025,2025-10,2025-10
0.08,2026-03-19,zz500,2026-03-02,8.733,7.945,-0.09023245162029092,1.8937700864841693,8%,2026,2026-03,2026-03
0.1,2024-10-09,cyb,2024-10-08,2.678,2.242,-0.16280806572068707,1.8081902424927978,10%,2024,2024-10,2024-10
0.1,2025-09-04,kc50,2025-09-01,1.431,1.282,-0.10412299091544375,1.8676204103189926,10%,2025,2025-09,2025-09
0.1,2026-03-20,zz500,2026-03-02,8.733,7.812,-0.10546204053589836,1.8698942565820684,10%,2026,2026-03,2026-03
0.12,2024-10-09,cyb,2024-10-08,2.678,2.242,-0.16280806572068707,1.8081902424927978,12%,2024,2024-10,2024-10
0.12,2026-03-23,zz500,2026-03-02,8.733,7.512,-0.1398144967365168,2.114793167175065,12%,2026,2026-03,2026-03
0.15,2024-10-09,cyb,2024-10-08,2.678,2.242,-0.16280806572068707,1.8081902424927978,15%,2024,2024-10,2024-10
