stop_loss,holding,entry_date,stop_date,planned_exit_date,entry_price,stop_price,planned_exit_price,holding_return_at_stop,holding_return_to_planned_exit,saved_or_missed_return,stop_effect,equity_before_stop,entry_month,stop_month,planned_exit_month
0.05,securities,2023-02-01,2023-02-08,2023-02-28,0.981,0.929,0.927,-0.05300713557594283,-0.05504587155963292,-0.0020387359836900876,effective_saved_loss,1.6019591729322888,2023-02,2023-02,2023-02
0.05,cyb,2024-10-08,2024-10-09,2024-10-31,2.678,2.242,2.122,-0.16280806572068707,-0.20761762509335324,-0.044809559372666175,effective_saved_loss,1.8296466531372653,2024-10,2024-10,2024-10
0.05,kc50,2025-09-01,2025-09-04,2025-09-30,1.431,1.282,1.57,-0.10412299091544375,0.09713487071977633,0.20125786163522008,missed_profit,1.8897820333109117,2025-09,2025-09,2025-09
0.05,new_energy,2025-10-09,2025-10-10,2025-11-28,0.9177539135879772,0.8620475892298058,0.8804088916718847,-0.060698541878602685,-0.04069175991861629,0.020006781959986397,reduced_loss_but_missed_rebound,1.957772174280804,2025-10,2025-10,2025-11
0.05,zz500,2026-03-02,2026-03-16,2026-03-31,8.733,8.259,7.683,-0.05427688079697701,-0.12023359670216427,-0.06595671590518726,effective_saved_loss,2.063200136040421,2026-03,2026-03,2026-03
0.08,cyb,2024-10-08,2024-10-09,2024-10-31,2.678,2.242,2.122,-0.16280806572068707,-0.20761762509335324,-0.044809559372666175,effective_saved_loss,1.808190242492799,2024-10,2024-10,2024-10
0.08,kc50,2025-09-01,2025-09-04,2025-09-30,1.431,1.282,1.57,-0.10412299091544375,0.09713487071977633,0.20125786163522008,missed_profit,1.8676204103189942,2025-09,2025-09,2025-09
0.08,new_energy,2025-10-09,2025-10-17,2025-11-28,0.9177539135879772,0.8271922354414526,0.8804088916718847,-0.09867751780264489,-0.04069175991861629,0.0579857578840286,reduced_loss_but_missed_rebound,1.8311508011147701,2025-10,2025-10,2025-11
0.08,zz500,2026-03-02,2026-03-19,2026-03-31,8.733,7.945,7.683,-0.09023245162029092,-0.12023359670216427,-0.03000114508187335,effective_saved_loss,1.8937700864841711,2026-03,2026-03,2026-03
0.1,cyb,2024-10-08,2024-10-09,2024-10-31,2.678,2.242,2.122,-0.16280806572068707,-0.20761762509335324,-0.044809559372666175,effective_saved_loss,1.808190242492799,2024-10,2024-10,2024-10
0.1,kc50,2025-09-01,2025-09-04,2025-09-30,1.431,1.282,1.57,-0.10412299091544375,0.09713487071977633,0.20125786163522008,missed_profit,1.8676204103189942,2025-09,2025-09,2025-09
0.1,zz500,2026-03-02,2026-03-20,2026-03-31,8.733,7.812,7.683,-0.10546204053589836,-0.12023359670216427,-0.014771556166265909,effective_saved_loss,1.86989425658207,2026-03,2026-03,2026-03
0.12,cyb,2024-10-08,2024-10-09,2024-10-31,2.678,2.242,2.122,-0.16280806572068707,-0.20761762509335324,-0.044809559372666175,effective_saved_loss,1.808190242492799,2024-10,2024-10,2024-10
0.12,zz500,2026-03-02,2026-03-23,2026-03-31,8.733,7.512,7.683,-0.1398144967365168,-0.12023359670216427,0.019580900034352533,reduced_loss_but_missed_rebound,2.114793167175068,2026-03,2026-03,2026-03
0.15,cyb,2024-10-08,2024-10-09,2024-10-31,2.678,2.242,2.122,-0.16280806572068707,-0.20761762509335324,-0.044809559372666175,effective_saved_loss,1.808190242492799,2024-10,2024-10,2024-10
