date,base_position,end_position,strategy_return,equity,stop_flag
2020-01-02,cash,cash,0.0,1.0,False
2020-01-03,cash,cash,0.0,1.0,False
2020-01-06,cash,cash,0.0,1.0,False
2020-01-07,cash,cash,0.0,1.0,False
2020-01-08,cash,cash,0.0,1.0,False
2020-01-09,cash,cash,0.0,1.0,False
2020-01-10,cash,cash,0.0,1.0,False
2020-01-13,cash,cash,0.0,1.0,False
2020-01-14,cash,cash,0.0,1.0,False
2020-01-15,cash,cash,0.0,1.0,False
2020-01-16,cash,cash,0.0,1.0,False
2020-01-17,cash,cash,0.0,1.0,False
2020-01-20,cash,cash,0.0,1.0,False
2020-01-21,cash,cash,0.0,1.0,False
2020-01-22,cash,cash,0.0,1.0,False
2020-01-23,cash,cash,0.0,1.0,False
2020-02-03,cash,cash,0.0,1.0,False
2020-02-04,cash,cash,0.0,1.0,False
2020-02-05,cash,cash,0.0,1.0,False
2020-02-06,cash,cash,0.0,1.0,False
2020-02-07,cash,cash,0.0,1.0,False
2020-02-10,cash,cash,0.0,1.0,False
2020-02-11,cash,cash,0.0,1.0,False
2020-02-12,cash,cash,0.0,1.0,False
2020-02-13,cash,cash,0.0,1.0,False
2020-02-14,cash,cash,0.0,1.0,False
2020-02-17,cash,cash,0.0,1.0,False
2020-02-18,cash,cash,0.0,1.0,False
2020-02-19,cash,cash,0.0,1.0,False
2020-02-20,cash,cash,0.0,1.0,False
2020-02-21,cash,cash,0.0,1.0,False
2020-02-24,cash,cash,0.0,1.0,False
2020-02-25,cash,cash,0.0,1.0,False
2020-02-26,cash,cash,0.0,1.0,False
2020-02-27,cash,cash,0.0,1.0,False
2020-02-28,cash,cash,0.0,1.0,False
2020-03-02,cash,cash,0.0,1.0,False
2020-03-03,cash,cash,0.0,1.0,False
2020-03-04,cash,cash,0.0,1.0,False
2020-03-05,cash,cash,0.0,1.0,False
2020-03-06,cash,cash,0.0,1.0,False
2020-03-09,cash,cash,0.0,1.0,False
2020-03-10,cash,cash,0.0,1.0,False
2020-03-11,cash,cash,0.0,1.0,False
2020-03-12,cash,cash,0.0,1.0,False
2020-03-13,cash,cash,0.0,1.0,False
2020-03-16,cash,cash,0.0,1.0,False
2020-03-17,cash,cash,0.0,1.0,False
2020-03-18,cash,cash,0.0,1.0,False
2020-03-19,cash,cash,0.0,1.0,False
2020-03-20,cash,cash,0.0,1.0,False
2020-03-23,cash,cash,0.0,1.0,False
2020-03-24,cash,cash,0.0,1.0,False
2020-03-25,cash,cash,0.0,1.0,False
2020-03-26,cash,cash,0.0,1.0,False
2020-03-27,cash,cash,0.0,1.0,False
2020-03-30,cash,cash,0.0,1.0,False
2020-03-31,cash,cash,0.0,1.0,False
2020-04-01,cash,cash,0.0,1.0,False
2020-04-02,cash,cash,0.0,1.0,False
2020-04-03,cash,cash,0.0,1.0,False
2020-04-07,cash,cash,0.0,1.0,False
2020-04-08,cash,cash,0.0,1.0,False
2020-04-09,cash,cash,0.0,1.0,False
2020-04-10,cash,cash,0.0,1.0,False
2020-04-13,cash,cash,0.0,1.0,False
2020-04-14,cash,cash,0.0,1.0,False
2020-04-15,cash,cash,0.0,1.0,False
2020-04-16,cash,cash,0.0,1.0,False
2020-04-17,cash,cash,0.0,1.0,False
2020-04-20,cash,cash,0.0,1.0,False
2020-04-21,cash,cash,0.0,1.0,False
2020-04-22,cash,cash,0.0,1.0,False
2020-04-23,cash,cash,0.0,1.0,False
2020-04-24,cash,cash,0.0,1.0,False
2020-04-27,cash,cash,0.0,1.0,False
2020-04-28,cash,cash,0.0,1.0,False
2020-04-29,cash,cash,0.0,1.0,False
2020-04-30,cash,cash,0.0,1.0,False
2020-05-06,cash,cash,0.0,1.0,False
2020-05-07,cash,cash,0.0,1.0,False
2020-05-08,cash,cash,0.0,1.0,False
2020-05-11,cash,cash,0.0,1.0,False
2020-05-12,cash,cash,0.0,1.0,False
2020-05-13,cash,cash,0.0,1.0,False
2020-05-14,cash,cash,0.0,1.0,False
2020-05-15,cash,cash,0.0,1.0,False
2020-05-18,cash,cash,0.0,1.0,False
2020-05-19,cash,cash,0.0,1.0,False
2020-05-20,cash,cash,0.0,1.0,False
2020-05-21,cash,cash,0.0,1.0,False
2020-05-22,cash,cash,0.0,1.0,False
2020-05-25,cash,cash,0.0,1.0,False
2020-05-26,cash,cash,0.0,1.0,False
2020-05-27,cash,cash,0.0,1.0,False
2020-05-28,cash,cash,0.0,1.0,False
2020-05-29,cash,cash,0.0,1.0,False
2020-06-01,cash,cash,0.0,1.0,False
2020-06-02,cash,cash,0.0,1.0,False
2020-06-03,cash,cash,0.0,1.0,False
2020-06-04,cash,cash,0.0,1.0,False
2020-06-05,cash,cash,0.0,1.0,False
2020-06-08,cash,cash,0.0,1.0,False
2020-06-09,cash,cash,0.0,1.0,False
2020-06-10,cash,cash,0.0,1.0,False
2020-06-11,cash,cash,0.0,1.0,False
2020-06-12,cash,cash,0.0,1.0,False
2020-06-15,cash,cash,0.0,1.0,False
2020-06-16,cash,cash,0.0,1.0,False
2020-06-17,cash,cash,0.0,1.0,False
2020-06-18,cash,cash,0.0,1.0,False
2020-06-19,cash,cash,0.0,1.0,False
2020-06-22,cash,cash,0.0,1.0,False
2020-06-23,cash,cash,0.0,1.0,False
2020-06-24,cash,cash,0.0,1.0,False
2020-06-29,cash,cash,0.0,1.0,False
2020-06-30,cash,cash,0.0,1.0,False
2020-07-01,cash,cash,0.0,1.0,False
2020-07-02,cash,cash,0.0,1.0,False
2020-07-03,cash,cash,0.0,1.0,False
2020-07-06,cash,cash,0.0,1.0,False
2020-07-07,cash,cash,0.0,1.0,False
2020-07-08,cash,cash,0.0,1.0,False
2020-07-09,cash,cash,0.0,1.0,False
2020-07-10,cash,cash,0.0,1.0,False
2020-07-13,cash,cash,0.0,1.0,False
2020-07-14,cash,cash,0.0,1.0,False
2020-07-15,cash,cash,0.0,1.0,False
2020-07-16,cash,cash,0.0,1.0,False
2020-07-17,cash,cash,0.0,1.0,False
2020-07-20,cash,cash,0.0,1.0,False
2020-07-21,cash,cash,0.0,1.0,False
2020-07-22,cash,cash,0.0,1.0,False
2020-07-23,cash,cash,0.0,1.0,False
2020-07-24,cash,cash,0.0,1.0,False
2020-07-27,cash,cash,0.0,1.0,False
2020-07-28,cash,cash,0.0,1.0,False
2020-07-29,cash,cash,0.0,1.0,False
2020-07-30,cash,cash,0.0,1.0,False
2020-07-31,cash,cash,0.0,1.0,False
2020-08-03,cash,cash,0.0,1.0,False
2020-08-04,cash,cash,0.0,1.0,False
2020-08-05,cash,cash,0.0,1.0,False
2020-08-06,cash,cash,0.0,1.0,False
2020-08-07,cash,cash,0.0,1.0,False
2020-08-10,cash,cash,0.0,1.0,False
2020-08-11,cash,cash,0.0,1.0,False
2020-08-12,cash,cash,0.0,1.0,False
2020-08-13,cash,cash,0.0,1.0,False
2020-08-14,cash,cash,0.0,1.0,False
2020-08-17,cash,cash,0.0,1.0,False
2020-08-18,cash,cash,0.0,1.0,False
2020-08-19,cash,cash,0.0,1.0,False
2020-08-20,cash,cash,0.0,1.0,False
2020-08-21,cash,cash,0.0,1.0,False
2020-08-24,cash,cash,0.0,1.0,False
2020-08-25,cash,cash,0.0,1.0,False
2020-08-26,cash,cash,0.0,1.0,False
2020-08-27,cash,cash,0.0,1.0,False
2020-08-28,cash,cash,0.0,1.0,False
2020-08-31,cash,cash,0.0,1.0,False
2020-09-01,cash,cash,0.0,1.0,False
2020-09-02,cash,cash,0.0,1.0,False
2020-09-03,cash,cash,0.0,1.0,False
2020-09-04,cash,cash,0.0,1.0,False
2020-09-07,cash,cash,0.0,1.0,False
2020-09-08,cash,cash,0.0,1.0,False
2020-09-09,cash,cash,0.0,1.0,False
2020-09-10,cash,cash,0.0,1.0,False
2020-09-11,cash,cash,0.0,1.0,False
2020-09-14,cash,cash,0.0,1.0,False
2020-09-15,cash,cash,0.0,1.0,False
2020-09-16,cash,cash,0.0,1.0,False
2020-09-17,cash,cash,0.0,1.0,False
2020-09-18,cash,cash,0.0,1.0,False
2020-09-21,cash,cash,0.0,1.0,False
2020-09-22,cash,cash,0.0,1.0,False
2020-09-23,cash,cash,0.0,1.0,False
2020-09-24,cash,cash,0.0,1.0,False
2020-09-25,cash,cash,0.0,1.0,False
2020-09-28,cash,cash,0.0,1.0,False
2020-09-29,cash,cash,0.0,1.0,False
2020-09-30,cash,cash,0.0,1.0,False
2020-10-09,cash,cash,0.0,1.0,False
2020-10-12,cash,cash,0.0,1.0,False
2020-10-13,cash,cash,0.0,1.0,False
2020-10-14,cash,cash,0.0,1.0,False
2020-10-15,cash,cash,0.0,1.0,False
2020-10-16,cash,cash,0.0,1.0,False
2020-10-19,cash,cash,0.0,1.0,False
2020-10-20,cash,cash,0.0,1.0,False
2020-10-21,cash,cash,0.0,1.0,False
2020-10-22,cash,cash,0.0,1.0,False
2020-10-23,cash,cash,0.0,1.0,False
2020-10-26,cash,cash,0.0,1.0,False
2020-10-27,cash,cash,0.0,1.0,False
