stop_loss,entry_date,stop_date,holding,entry_price,stop_close_price,holding_return_at_stop
0.05,2023-02-01,2023-02-08,securities,0.981,0.929,-0.05300713557594283
0.05,2024-10-08,2024-10-09,cyb,2.678,2.242,-0.16280806572068707
0.05,2025-09-01,2025-09-04,kc50,1.431,1.282,-0.10412299091544375
0.05,2025-10-09,2025-10-10,new_energy,0.9177539135879772,0.8620475892298058,-0.060698541878602685
0.05,2026-03-02,2026-03-16,zz500,8.733,8.259,-0.05427688079697701
0.08,2024-10-08,2024-10-09,cyb,2.678,2.242,-0.16280806572068707
0.08,2025-09-01,2025-09-04,kc50,1.431,1.282,-0.10412299091544375
0.08,2025-10-09,2025-10-17,new_energy,0.9177539135879772,0.8271922354414526,-0.09867751780264489
0.08,2026-03-02,2026-03-19,zz500,8.733,7.945,-0.09023245162029092
0.1,2024-10-08,2024-10-09,cyb,2.678,2.242,-0.16280806572068707
0.1,2025-09-01,2025-09-04,kc50,1.431,1.282,-0.10412299091544375
0.1,2026-03-02,2026-03-20,zz500,8.733,7.812,-0.10546204053589836
0.12,2024-10-08,2024-10-09,cyb,2.678,2.242,-0.16280806572068707
0.12,2026-03-02,2026-03-23,zz500,8.733,7.512,-0.1398144967365168
0.15,2024-10-08,2024-10-09,cyb,2.678,2.242,-0.16280806572068707
