year,candidate,top_n,momentum_threshold,threshold_percent,trading_days,final_value,year_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,cash_ratio,invested_day_ratio,average_holding_count_when_invested,active_signal_count,total_cost
2020,Top1_4.00,1,0.04,4.0,243,1.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,1,0.0
2021,Top1_4.00,1,0.04,4.0,243,1.634293038122641,0.634293038122641,0.6437714482356744,0.23857952034491758,2.6983516745484506,-0.0788064269319051,8.169022163534242,0.48559670781893005,0.51440329218107,1.0,5,0.008
2022,Top1_4.00,1,0.04,4.0,242,1.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0,0.0
2023,Top1_4.00,1,0.04,4.0,242,0.9229112189155391,-0.07708878108446093,-0.07816787060915231,0.11971427315355021,-0.6529536416170789,-0.09973110872240887,-0.7837862389229465,0.8223140495867769,0.17768595041322313,1.0,2,0.004
2024,Top1_4.00,1,0.04,4.0,242,0.9453047402176887,-0.05469525978231127,-0.05487783635211718,0.3047694997322486,-0.1800634131707058,-0.2550410754294248,-0.21517254136305988,0.8388429752066116,0.16115702479338842,1.0,2,0.004
2025,Top1_4.00,1,0.04,4.0,243,1.1852583486865962,0.18525834868659619,0.18650764764208416,0.24203204504276385,0.7705907191303148,-0.11907066795740573,1.5663609757257948,0.4156378600823045,0.5843621399176955,1.0,8,0.012
2026,Top1_4.00,1,0.04,4.0,95,1.0851008173231032,0.08510081732310315,0.23017927715686204,0.2860932352062899,0.804560362956116,-0.1693849615359293,1.3589121198816536,0.3684210526315789,0.631578947368421,1.0,2,0.005
2020,Top3_4.00,3,0.04,4.0,243,1.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,1,0.0
2021,Top3_4.00,3,0.04,4.0,243,1.4202659660584487,0.4202659660584487,0.42614441667987424,0.19407985164787733,2.1957169333220428,-0.06786626459018064,6.279178900639417,0.48559670781893005,0.51440329218107,2.136,5,0.009333333333333332
2022,Top3_4.00,3,0.04,4.0,242,1.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0,0.0
2023,Top3_4.00,3,0.04,4.0,242,0.8940176312038391,-0.10598236879616085,-0.1074417933831997,0.07407420653172968,-1.450461616989134,-0.11896052998819329,-0.9031717780163151,0.8223140495867769,0.17768595041322313,3.0,2,0.004
2024,Top3_4.00,3,0.04,4.0,242,0.970799795116916,-0.029200204883083947,-0.02929899679158865,0.19120317720032629,-0.1532348845902894,-0.16998048581969505,-0.1723668258170955,0.8388429752066116,0.16115702479338842,3.0,2,0.004
2025,Top3_4.00,3,0.04,4.0,243,1.3285130389321398,0.3285130389321398,0.3308542180691161,0.21723486367639888,1.5230254134620345,-0.10739162823044701,3.080819459773442,0.4156378600823045,0.5843621399176955,2.3028169014084505,8,0.01
2026,Top3_4.00,3,0.04,4.0,95,1.1352491829133007,0.13524918291330068,0.3795470861782846,0.2781550827280888,1.3645160910085248,-0.1122455957543611,3.3813984738331078,0.3684210526315789,0.631578947368421,1.3666666666666667,2,0.005
2020,Top4_4.00,4,0.04,4.0,243,1.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,1,0.0
2021,Top4_4.00,4,0.04,4.0,243,1.4068545262985817,0.40685452629858165,0.4125196825775017,0.19343645738744197,2.1325849746681866,-0.06786626459018064,6.078420332525387,0.48559670781893005,0.51440329218107,2.448,5,0.009000000000000001
2022,Top4_4.00,4,0.04,4.0,242,1.0,0.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0,0.0
2023,Top4_4.00,4,0.04,4.0,242,0.8913393886446369,-0.10866061135536309,-0.1101545985156317,0.07210963226873023,-1.5275989496815028,-0.12546687309046767,-0.8779576297896969,0.8223140495867769,0.17768595041322313,3.5348837209302326,2,0.004
